dex,name,generation,types,abilities,hp,attack,defense,sp_atk,sp_def,speed,base_total,is_legendary,height,weight,base_experience
283,surskit,3,"bug, water",swift-swim; rain-dish,40,30,32,50,52,65,269,False,5,17,54
284,masquerain,3,"bug, flying",intimidate; unnerve,70,60,62,100,82,80,454,False,8,36,159
285,shroomish,3,grass,effect-spore; poison-heal; quick-feet,60,40,60,40,60,35,295,False,4,45,59
286,breloom,3,"grass, fighting",effect-spore; poison-heal; technician,60,130,80,60,60,70,460,False,12,392,161
287,slakoth,3,normal,truant,60,60,60,35,35,30,280,False,8,240,56
288,vigoroth,3,normal,vital-spirit,80,80,80,55,55,90,440,False,14,465,154
289,slaking,3,normal,truant,150,160,100,95,65,100,670,False,20,1305,252
290,nincada,3,"bug, ground",compound-eyes; run-away,31,45,90,30,30,40,266,False,5,55,53
291,ninjask,3,"bug, flying",speed-boost; infiltrator,61,90,45,50,50,160,456,False,8,120,160
292,shedinja,3,"bug, ghost",wonder-guard,1,90,45,30,30,40,236,False,8,12,83
293,whismur,3,normal,soundproof; rattled,64,51,23,51,23,28,240,False,6,163,48
294,loudred,3,normal,soundproof; scrappy,84,71,43,71,43,48,360,False,10,405,126
295,exploud,3,normal,soundproof; scrappy,104,91,63,91,73,68,490,False,15,840,221
296,makuhita,3,fighting,thick-fat; guts; sheer-force,72,60,30,20,30,25,237,False,10,864,47
297,hariyama,3,fighting,thick-fat; guts; sheer-force,144,120,60,40,60,50,474,False,23,2538,166
298,azurill,3,"normal, fairy",thick-fat; huge-power; sap-sipper,50,20,40,20,40,20,190,False,2,20,38
299,nosepass,3,rock,sturdy; magnet-pull; sand-force,30,45,135,45,90,30,375,False,10,970,75
300,skitty,3,normal,cute-charm; normalize; wonder-skin,50,45,45,35,35,50,260,False,6,110,52
301,delcatty,3,normal,cute-charm; normalize; wonder-skin,70,65,65,55,55,90,400,False,11,326,140
302,sableye,3,"dark, ghost",keen-eye; stall; prankster,50,75,75,65,65,50,380,False,5,110,133
303,mawile,3,"steel, fairy",hyper-cutter; intimidate; sheer-force,50,85,85,55,55,50,380,False,6,115,133
304,aron,3,"steel, rock",sturdy; rock-head; heavy-metal,50,70,100,40,40,30,330,False,4,600,66
305,lairon,3,"steel, rock",sturdy; rock-head; heavy-metal,60,90,140,50,50,40,430,False,9,1200,151
306,aggron,3,"steel, rock",sturdy; rock-head; heavy-metal,70,110,180,60,60,50,530,False,21,3600,239
307,meditite,3,"fighting, psychic",pure-power; telepathy,30,40,55,40,55,60,280,False,6,112,56
308,medicham,3,"fighting, psychic",pure-power; telepathy,60,60,75,60,75,80,410,False,13,315,144
309,electrike,3,electric,static; lightning-rod; minus,40,45,40,65,40,65,295,False,6,152,59
310,manectric,3,electric,static; lightning-rod; minus,70,75,60,105,60,105,475,False,15,402,166
311,plusle,3,electric,plus; lightning-rod,60,50,40,85,75,95,405,False,4,42,142
312,minun,3,electric,minus; volt-absorb,60,40,50,75,85,95,405,False,4,42,142
313,volbeat,3,bug,illuminate; swarm; prankster,65,73,75,47,85,85,430,False,7,177,151
314,illumise,3,bug,oblivious; tinted-lens; prankster,65,47,75,73,85,85,430,False,6,177,151
315,roselia,3,"grass, poison",natural-cure; poison-point; leaf-guard,50,60,45,100,80,65,400,False,3,20,140
316,gulpin,3,poison,liquid-ooze; sticky-hold; gluttony,70,43,53,43,53,40,302,False,4,103,60
317,swalot,3,poison,liquid-ooze; sticky-hold; gluttony,100,73,83,73,83,55,467,False,17,800,163
318,carvanha,3,"water, dark",rough-skin; speed-boost,45,90,20,65,20,65,305,False,8,208,61
319,sharpedo,3,"water, dark",rough-skin; speed-boost,70,120,40,95,40,95,460,False,18,888,161
320,wailmer,3,water,water-veil; oblivious; pressure,130,70,35,70,35,60,400,False,20,1300,80
321,wailord,3,water,water-veil; oblivious; pressure,170,90,45,90,45,60,500,False,145,3980,175
322,numel,3,"fire, ground",oblivious; simple; own-tempo,60,60,40,65,45,35,305,False,7,240,61
323,camerupt,3,"fire, ground",magma-armor; solid-rock; anger-point,70,100,70,105,75,40,460,False,19,2200,161
324,torkoal,3,fire,white-smoke; drought; shell-armor,70,85,140,85,70,20,470,False,5,804,165
325,spoink,3,psychic,thick-fat; own-tempo; gluttony,60,25,35,70,80,60,330,False,7,306,66
326,grumpig,3,psychic,thick-fat; own-tempo; gluttony,80,45,65,90,110,80,470,False,9,715,165
327,spinda,3,normal,own-tempo; tangled-feet; contrary,60,60,60,60,60,60,360,False,11,50,126
328,trapinch,3,ground,hyper-cutter; arena-trap; sheer-force,45,100,45,45,45,10,290,False,7,150,58
329,vibrava,3,"ground, dragon",levitate,50,70,50,50,50,70,340,False,11,153,119
330,flygon,3,"ground, dragon",levitate,80,100,80,80,80,100,520,False,20,820,234
331,cacnea,3,grass,sand-veil; water-absorb,50,85,40,85,40,35,335,False,4,513,67
332,cacturne,3,"grass, dark",sand-veil; water-absorb,70,115,60,115,60,55,475,False,13,774,166
333,swablu,3,"normal, flying",natural-cure; cloud-nine,45,40,60,40,75,50,310,False,4,12,62
334,altaria,3,"dragon, flying",natural-cure; cloud-nine,75,70,90,70,105,80,490,False,11,206,172
335,zangoose,3,normal,immunity; toxic-boost,73,115,60,60,60,90,458,False,13,403,160
336,seviper,3,poison,shed-skin; infiltrator,73,100,60,100,60,65,458,False,27,525,160
337,lunatone,3,"rock, psychic",levitate,90,55,65,95,85,70,460,False,10,1680,161
338,solrock,3,"rock, psychic",levitate,90,95,85,55,65,70,460,False,12,1540,161
339,barboach,3,"water, ground",oblivious; anticipation; hydration,50,48,43,46,41,60,288,False,4,19,58
340,whiscash,3,"water, ground",oblivious; anticipation; hydration,110,78,73,76,71,60,468,False,9,236,164
341,corphish,3,water,hyper-cutter; shell-armor; adaptability,43,80,65,50,35,35,308,False,6,115,62
342,crawdaunt,3,"water, dark",hyper-cutter; shell-armor; adaptability,63,120,85,90,55,55,468,False,11,328,164
343,baltoy,3,"ground, psychic",levitate,40,40,55,40,70,55,300,False,5,215,60
344,claydol,3,"ground, psychic",levitate,60,70,105,70,120,75,500,False,15,1080,175
345,lileep,3,"rock, grass",suction-cups; storm-drain,66,41,77,61,87,23,355,False,10,238,71
346,cradily,3,"rock, grass",suction-cups; storm-drain,86,81,97,81,107,43,495,False,15,604,173
347,anorith,3,"rock, bug",battle-armor; swift-swim,45,95,50,40,50,75,355,False,7,125,71
348,armaldo,3,"rock, bug",battle-armor; swift-swim,75,125,100,70,80,45,495,False,15,682,173
349,feebas,3,water,swift-swim; oblivious; adaptability,20,15,20,10,55,80,200,False,6,74,40
350,milotic,3,water,marvel-scale; competitive; cute-charm,95,60,79,100,125,81,540,False,62,1620,189
351,castform,3,normal,forecast,70,70,70,70,70,70,420,False,3,8,147
352,kecleon,3,normal,color-change; protean,60,90,70,60,120,40,440,False,10,220,154
353,shuppet,3,ghost,insomnia; frisk; cursed-body,44,75,35,63,33,45,295,False,6,23,59
354,banette,3,ghost,insomnia; frisk; cursed-body,64,115,65,83,63,65,455,False,11,125,159
355,duskull,3,ghost,levitate; frisk,20,40,90,30,90,25,295,False,8,150,59
356,dusclops,3,ghost,pressure; frisk,40,70,130,60,130,25,455,False,16,306,159
357,tropius,3,"grass, flying",chlorophyll; solar-power; harvest,99,68,83,72,87,51,460,False,20,1000,161
358,chimecho,3,psychic,levitate,75,50,80,95,90,65,455,False,6,10,159
359,absol,3,dark,pressure; super-luck; justified,65,130,60,75,60,75,465,False,12,470,163
360,wynaut,3,psychic,shadow-tag; telepathy,95,23,48,23,48,23,260,False,6,140,52
361,snorunt,3,ice,inner-focus; ice-body; moody,50,50,50,50,50,50,300,False,7,168,60
362,glalie,3,ice,inner-focus; ice-body; moody,80,80,80,80,80,80,480,False,15,2565,168
363,spheal,3,"ice, water",thick-fat; ice-body; oblivious,70,40,50,55,50,25,290,False,8,395,58
364,sealeo,3,"ice, water",thick-fat; ice-body; oblivious,90,60,70,75,70,45,410,False,11,876,144
365,walrein,3,"ice, water",thick-fat; ice-body; oblivious,110,80,90,95,90,65,530,False,14,1506,239
366,clamperl,3,water,shell-armor; rattled,35,64,85,74,55,32,345,False,4,525,69
367,huntail,3,water,swift-swim; water-veil,55,104,105,94,75,52,485,False,17,270,170
368,gorebyss,3,water,swift-swim; hydration,55,84,105,114,75,52,485,False,18,226,170
369,relicanth,3,"water, rock",swift-swim; rock-head; sturdy,100,90,130,45,65,55,485,False,10,234,170
370,luvdisc,3,water,swift-swim; hydration,43,30,55,40,65,97,330,False,6,87,116
371,bagon,3,dragon,rock-head; sheer-force,45,75,60,40,30,50,300,False,6,421,60
372,shelgon,3,dragon,rock-head; overcoat,65,95,100,60,50,50,420,False,11,1105,147
373,salamence,3,"dragon, flying",intimidate; moxie,95,135,80,110,80,100,600,False,15,1026,270
374,beldum,3,"steel, psychic",clear-body; light-metal,40,55,80,35,60,30,300,False,6,952,60
375,metang,3,"steel, psychic",clear-body; light-metal,60,75,100,55,80,50,420,False,12,2025,147
376,metagross,3,"steel, psychic",clear-body; light-metal,80,135,130,95,90,70,600,False,16,5500,270
377,regirock,3,rock,clear-body; sturdy,80,100,200,50,100,50,580,True,17,2300,261
378,regice,3,ice,clear-body; ice-body,80,50,100,100,200,50,580,True,18,1750,261
379,registeel,3,steel,clear-body; light-metal,80,75,150,75,150,50,580,True,19,2050,261
380,latias,3,"dragon, psychic",levitate,80,80,90,110,130,110,600,True,14,400,270
381,latios,3,"dragon, psychic",levitate,80,90,80,130,110,110,600,True,20,600,270
382,kyogre,3,water,drizzle,100,100,90,150,140,90,670,True,45,3520,302
383,groudon,3,ground,drought,100,150,140,100,90,90,670,True,35,9500,302
384,rayquaza,3,"dragon, flying",air-lock,105,150,90,150,90,95,680,True,70,2065,306
385,jirachi,3,"steel, psychic",serene-grace,100,100,100,100,100,100,600,False,3,11,270
386,deoxys-normal,3,psychic,pressure,50,150,50,150,50,150,600,False,17,608,270
387,turtwig,4,grass,overgrow; shell-armor,55,68,64,45,55,31,318,False,4,102,64
388,grotle,4,grass,overgrow; shell-armor,75,89,85,55,65,36,405,False,11,970,142
389,torterra,4,"grass, ground",overgrow; shell-armor,95,109,105,75,85,56,525,False,22,3100,236
390,chimchar,4,fire,blaze; iron-fist,44,58,44,58,44,61,309,False,5,62,62
391,monferno,4,"fire, fighting",blaze; iron-fist,64,78,52,78,52,81,405,False,9,220,142
392,infernape,4,"fire, fighting",blaze; iron-fist,76,104,71,104,71,108,534,False,12,550,240
393,piplup,4,water,torrent; competitive,53,51,53,61,56,40,314,False,4,52,63
394,prinplup,4,water,torrent; competitive,64,66,68,81,76,50,405,False,8,230,142
395,empoleon,4,"water, steel",torrent; competitive,84,86,88,111,101,60,530,False,17,845,239
396,starly,4,"normal, flying",keen-eye; reckless,40,55,30,30,30,60,245,False,3,20,49
397,staravia,4,"normal, flying",intimidate; reckless,55,75,50,40,40,80,340,False,6,155,119
398,staraptor,4,"normal, flying",intimidate; reckless,85,120,70,50,60,100,485,False,12,249,218
399,bidoof,4,normal,simple; unaware; moody,59,45,40,35,40,31,250,False,5,200,50
400,bibarel,4,"normal, water",simple; unaware; moody,79,85,60,55,60,71,410,False,10,315,144
401,kricketot,4,bug,shed-skin; run-away,37,25,41,25,41,25,194,False,3,22,39
402,kricketune,4,bug,swarm; technician,77,85,51,55,51,65,384,False,10,255,134
403,shinx,4,electric,rivalry; intimidate; guts,45,65,34,40,34,45,263,False,5,95,53
404,luxio,4,electric,rivalry; intimidate; guts,60,85,49,60,49,60,363,False,9,305,127
405,luxray,4,electric,rivalry; intimidate; guts,80,120,79,95,79,70,523,False,14,420,235
406,budew,4,"grass, poison",natural-cure; poison-point; leaf-guard,40,30,35,50,70,55,280,False,2,12,56
407,roserade,4,"grass, poison",natural-cure; poison-point; technician,60,70,65,125,105,90,515,False,9,145,232
408,cranidos,4,rock,mold-breaker; sheer-force,67,125,40,30,30,58,350,False,9,315,70
409,rampardos,4,rock,mold-breaker; sheer-force,97,165,60,65,50,58,495,False,16,1025,173
410,shieldon,4,"rock, steel",sturdy; soundproof,30,42,118,42,88,30,350,False,5,570,70
411,bastiodon,4,"rock, steel",sturdy; soundproof,60,52,168,47,138,30,495,False,13,1495,173
412,burmy,4,bug,shed-skin; overcoat,40,29,45,29,45,36,224,False,2,34,45
413,wormadam-plant,4,"bug, grass",anticipation; overcoat,60,59,85,79,105,36,424,False,5,65,148
414,mothim,4,"bug, flying",swarm; tinted-lens,70,94,50,94,50,66,424,False,9,233,148
415,combee,4,"bug, flying",honey-gather; hustle,30,30,42,30,42,70,244,False,3,55,49
416,vespiquen,4,"bug, flying",pressure; unnerve,70,80,102,80,102,40,474,False,12,385,166
417,pachirisu,4,electric,run-away; pickup; volt-absorb,60,45,70,45,90,95,405,False,4,39,142
418,buizel,4,water,swift-swim; water-veil,55,65,35,60,30,85,330,False,7,295,66
419,floatzel,4,water,swift-swim; water-veil,85,105,55,85,50,115,495,False,11,335,173
420,cherubi,4,grass,chlorophyll,45,35,45,62,53,35,275,False,4,33,55
421,cherrim,4,grass,flower-gift,70,60,70,87,78,85,450,False,5,93,158
422,shellos,4,water,sticky-hold; storm-drain; sand-force,76,48,48,57,62,34,325,False,3,63,65
423,gastrodon,4,"water, ground",sticky-hold; storm-drain; sand-force,111,83,68,92,82,39,475,False,9,299,166
424,ambipom,4,normal,technician; pickup; skill-link,75,100,66,60,66,115,482,False,12,203,169
425,drifloon,4,"ghost, flying",aftermath; unburden; flare-boost,90,50,34,60,44,70,348,False,4,12,70
426,drifblim,4,"ghost, flying",aftermath; unburden; flare-boost,150,80,44,90,54,80,498,False,12,150,174
427,buneary,4,normal,run-away; klutz; limber,55,66,44,44,56,85,350,False,4,55,70
428,lopunny,4,normal,cute-charm; klutz; limber,65,76,84,54,96,105,480,False,12,333,168
429,mismagius,4,ghost,levitate,60,60,60,105,105,105,495,False,9,44,173
430,honchkrow,4,"dark, flying",insomnia; super-luck; moxie,100,125,52,105,52,71,505,False,9,273,177
431,glameow,4,normal,limber; own-tempo; keen-eye,49,55,42,42,37,85,310,False,5,39,62
432,purugly,4,normal,thick-fat; own-tempo; defiant,71,82,64,64,59,112,452,False,10,438,158
433,chingling,4,psychic,levitate,45,30,50,65,50,45,285,False,2,6,57
434,stunky,4,"poison, dark",stench; aftermath; keen-eye,63,63,47,41,41,74,329,False,4,192,66
435,skuntank,4,"poison, dark",stench; aftermath; keen-eye,103,93,67,71,61,84,479,False,10,380,168
436,bronzor,4,"steel, psychic",levitate; heatproof; heavy-metal,57,24,86,24,86,23,300,False,5,605,60
437,bronzong,4,"steel, psychic",levitate; heatproof; heavy-metal,67,89,116,79,116,33,500,False,13,1870,175
438,bonsly,4,rock,sturdy; rock-head; rattled,50,80,95,10,45,10,290,False,5,150,58
439,mime-jr,4,"psychic, fairy",soundproof; filter; technician,20,25,45,70,90,60,310,False,6,130,62
440,happiny,4,normal,natural-cure; serene-grace; friend-guard,100,5,5,15,65,30,220,False,6,244,110
441,chatot,4,"normal, flying",keen-eye; tangled-feet; big-pecks,76,65,45,92,42,91,411,False,5,19,144
442,spiritomb,4,"ghost, dark",pressure; infiltrator,50,92,108,92,108,35,485,False,10,1080,170
443,gible,4,"dragon, ground",sand-veil; rough-skin,58,70,45,40,45,42,300,False,7,205,60
444,gabite,4,"dragon, ground",sand-veil; rough-skin,68,90,65,50,55,82,410,False,14,560,144
445,garchomp,4,"dragon, ground",sand-veil; rough-skin,108,130,95,80,85,102,600,False,19,950,270
446,munchlax,4,normal,pickup; thick-fat; gluttony,135,85,40,40,85,5,390,False,6,1050,78
447,riolu,4,fighting,steadfast; inner-focus; prankster,40,70,40,35,40,60,285,False,7,202,57
448,lucario,4,"fighting, steel",steadfast; inner-focus; justified,70,110,70,115,70,90,525,False,12,540,184
449,hippopotas,4,ground,sand-stream; sand-force,68,72,78,38,42,32,330,False,8,495,66
450,hippowdon,4,ground,sand-stream; sand-force,108,112,118,68,72,47,525,False,20,3000,184
451,skorupi,4,"poison, bug",battle-armor; sniper; keen-eye,40,50,90,30,55,65,330,False,8,120,66
452,drapion,4,"poison, dark",battle-armor; sniper; keen-eye,70,90,110,60,75,95,500,False,13,615,175
453,croagunk,4,"poison, fighting",anticipation; dry-skin; poison-touch,48,61,40,61,40,50,300,False,7,230,60
454,toxicroak,4,"poison, fighting",anticipation; dry-skin; poison-touch,83,106,65,86,65,85,490,False,13,444,172
455,carnivine,4,grass,levitate,74,100,72,90,72,46,454,False,14,270,159
456,finneon,4,water,swift-swim; storm-drain; water-veil,49,49,56,49,61,66,330,False,4,70,66
457,lumineon,4,water,swift-swim; storm-drain; water-veil,69,69,76,69,86,91,460,False,12,240,161
458,mantyke,4,"water, flying",swift-swim; water-absorb; water-veil,45,20,50,60,120,50,345,False,10,650,69
459,snover,4,"grass, ice",snow-warning; soundproof,60,62,50,62,60,40,334,False,10,505,67
460,abomasnow,4,"grass, ice",snow-warning; soundproof,90,92,75,92,85,60,494,False,22,1355,173
461,weavile,4,"dark, ice",pressure; pickpocket,70,120,65,45,85,125,510,False,11,340,179
462,magnezone,4,"electric, steel",magnet-pull; sturdy; analytic,70,70,115,130,90,60,535,False,12,1800,241
463,lickilicky,4,normal,own-tempo; oblivious; cloud-nine,110,85,95,80,95,50,515,False,17,1400,180
464,rhyperior,4,"ground, rock",lightning-rod; solid-rock; reckless,115,140,130,55,55,40,535,False,24,2828,241
465,tangrowth,4,grass,chlorophyll; leaf-guard; regenerator,100,100,125,110,50,50,535,False,20,1286,187
466,electivire,4,electric,motor-drive; vital-spirit,75,123,67,95,85,95,540,False,18,1386,243
467,magmortar,4,fire,flame-body; vital-spirit,75,95,67,125,95,83,540,False,16,680,243
468,togekiss,4,"fairy, flying",hustle; serene-grace; super-luck,85,50,95,120,115,80,545,False,15,380,245
469,yanmega,4,"bug, flying",speed-boost; tinted-lens; frisk,86,76,86,116,56,95,515,False,19,515,180
470,leafeon,4,grass,leaf-guard; chlorophyll,65,110,130,60,65,95,525,False,10,255,184
471,glaceon,4,ice,snow-cloak; ice-body,65,60,110,130,95,65,525,False,8,259,184
472,gliscor,4,"ground, flying",hyper-cutter; sand-veil; poison-heal,75,95,125,45,75,95,510,False,20,425,179
473,mamoswine,4,"ice, ground",oblivious; snow-cloak; thick-fat,110,130,80,70,60,80,530,False,25,2910,239
474,porygon-z,4,normal,adaptability; download; analytic,85,80,70,135,75,90,535,False,9,340,241
475,gallade,4,"psychic, fighting",steadfast; sharpness; justified,68,125,65,65,115,80,518,False,16,520,233
476,probopass,4,"rock, steel",sturdy; magnet-pull; sand-force,60,55,145,75,150,40,525,False,14,3400,184
477,dusknoir,4,ghost,pressure; frisk,45,100,135,65,135,45,525,False,22,1066,236
478,froslass,4,"ice, ghost",snow-cloak; cursed-body,70,80,70,80,70,110,480,False,13,266,168
479,rotom,4,"electric, ghost",levitate,50,50,77,95,77,91,440,False,3,3,154
480,uxie,4,psychic,levitate,75,75,130,75,130,95,580,True,3,3,261
481,mesprit,4,psychic,levitate,80,105,105,105,105,80,580,True,3,3,261
482,azelf,4,psychic,levitate,75,125,70,125,70,115,580,True,3,3,261
483,dialga,4,"steel, dragon",pressure; telepathy,100,120,120,150,100,90,680,True,54,6830,306
484,palkia,4,"water, dragon",pressure; telepathy,90,120,100,150,120,100,680,True,42,3360,306
485,heatran,4,"fire, steel",flash-fire; flame-body,91,90,106,130,106,77,600,True,17,4300,270
486,regigigas,4,normal,slow-start,110,160,110,80,110,100,670,True,37,4200,302
487,giratina-altered,4,"ghost, dragon",pressure; telepathy,150,100,120,100,120,90,680,True,45,7500,306
488,cresselia,4,psychic,levitate,120,70,110,75,120,85,580,True,15,856,270
489,phione,4,water,hydration,80,80,80,80,80,80,480,False,4,31,216
490,manaphy,4,water,hydration,100,100,100,100,100,100,600,False,3,14,270
491,darkrai,4,dark,bad-dreams,70,90,90,135,90,125,600,False,15,505,270
492,shaymin-land,4,grass,natural-cure,100,100,100,100,100,100,600,False,2,21,270
493,arceus,4,normal,multitype,120,120,120,120,120,120,720,False,32,3200,324
494,victini,5,"psychic, fire",victory-star,100,100,100,100,100,100,600,False,4,40,270
495,snivy,5,grass,overgrow; contrary,45,45,55,45,55,63,308,False,6,81,62
496,servine,5,grass,overgrow; contrary,60,60,75,60,75,83,413,False,8,160,145
497,serperior,5,grass,overgrow; contrary,75,75,95,75,95,113,528,False,33,630,238
498,tepig,5,fire,blaze; thick-fat,65,63,45,45,45,45,308,False,5,99,62
499,pignite,5,"fire, fighting",blaze; thick-fat,90,93,55,70,55,55,418,False,10,555,146
500,emboar,5,"fire, fighting",blaze; reckless,110,123,65,100,65,65,528,False,16,1500,238
501,oshawott,5,water,torrent; shell-armor,55,55,45,63,45,45,308,False,5,59,62
502,dewott,5,water,torrent; shell-armor,75,75,60,83,60,60,413,False,8,245,145
503,samurott,5,water,torrent; shell-armor,95,100,85,108,70,70,528,False,15,946,238
504,patrat,5,normal,run-away; keen-eye; analytic,45,55,39,35,39,42,255,False,5,116,51
505,watchog,5,normal,illuminate; keen-eye; analytic,60,85,69,60,69,77,420,False,11,270,147
506,lillipup,5,normal,vital-spirit; pickup; run-away,45,60,45,25,45,55,275,False,4,41,55
507,herdier,5,normal,intimidate; sand-rush; scrappy,65,80,65,35,65,60,370,False,9,147,130
508,stoutland,5,normal,intimidate; sand-rush; scrappy,85,110,90,45,90,80,500,False,12,610,225
509,purrloin,5,dark,limber; unburden; prankster,41,50,37,50,37,66,281,False,4,101,56
510,liepard,5,dark,limber; unburden; prankster,64,88,50,88,50,106,446,False,11,375,156
511,pansage,5,grass,gluttony; overgrow,50,53,48,53,48,64,316,False,6,105,63
512,simisage,5,grass,gluttony; overgrow,75,98,63,98,63,101,498,False,11,305,174
513,pansear,5,fire,gluttony; blaze,50,53,48,53,48,64,316,False,6,110,63
514,simisear,5,fire,gluttony; blaze,75,98,63,98,63,101,498,False,10,280,174
515,panpour,5,water,gluttony; torrent,50,53,48,53,48,64,316,False,6,135,63
516,simipour,5,water,gluttony; torrent,75,98,63,98,63,101,498,False,10,290,174
517,munna,5,psychic,forewarn; synchronize; telepathy,76,25,45,67,55,24,292,False,6,233,58
518,musharna,5,psychic,forewarn; synchronize; telepathy,116,55,85,107,95,29,487,False,11,605,170
519,pidove,5,"normal, flying",big-pecks; super-luck; rivalry,50,55,50,36,30,43,264,False,3,21,53
520,tranquill,5,"normal, flying",big-pecks; super-luck; rivalry,62,77,62,50,42,65,358,False,6,150,125
521,unfezant,5,"normal, flying",big-pecks; super-luck; rivalry,80,115,80,65,55,93,488,False,12,290,220
522,blitzle,5,electric,lightning-rod; motor-drive; sap-sipper,45,60,32,50,32,76,295,False,8,298,59
523,zebstrika,5,electric,lightning-rod; motor-drive; sap-sipper,75,100,63,80,63,116,497,False,16,795,174
524,roggenrola,5,rock,sturdy; weak-armor; sand-force,55,75,85,25,25,15,280,False,4,180,56
525,boldore,5,rock,sturdy; weak-armor; sand-force,70,105,105,50,40,20,390,False,9,1020,137
526,gigalith,5,rock,sturdy; sand-stream; sand-force,85,135,130,60,80,25,515,False,17,2600,232
527,woobat,5,"psychic, flying",unaware; klutz; simple,65,45,43,55,43,72,323,False,4,21,65
528,swoobat,5,"psychic, flying",unaware; klutz; simple,67,57,55,77,55,114,425,False,9,105,149
529,drilbur,5,ground,sand-rush; sand-force; mold-breaker,60,85,40,30,45,68,328,False,3,85,66
530,excadrill,5,"ground, steel",sand-rush; sand-force; mold-breaker,110,135,60,50,65,88,508,False,7,404,178
531,audino,5,normal,healer; regenerator; klutz,103,60,86,60,86,50,445,False,11,310,390
532,timburr,5,fighting,guts; sheer-force; iron-fist,75,80,55,25,35,35,305,False,6,125,61
533,gurdurr,5,fighting,guts; sheer-force; iron-fist,85,105,85,40,50,40,405,False,12,400,142
534,conkeldurr,5,fighting,guts; sheer-force; iron-fist,105,140,95,55,65,45,505,False,14,870,227
535,tympole,5,water,swift-swim; hydration; water-absorb,50,50,40,50,40,64,294,False,5,45,59
536,palpitoad,5,"water, ground",swift-swim; hydration; water-absorb,75,65,55,65,55,69,384,False,8,170,134
537,seismitoad,5,"water, ground",swift-swim; poison-touch; water-absorb,105,95,75,85,75,74,509,False,15,620,229
538,throh,5,fighting,guts; inner-focus; mold-breaker,120,100,85,30,85,45,465,False,13,555,163
539,sawk,5,fighting,sturdy; inner-focus; mold-breaker,75,125,75,30,75,85,465,False,14,510,163
540,sewaddle,5,"bug, grass",swarm; chlorophyll; overcoat,45,53,70,40,60,42,310,False,3,25,62
541,swadloon,5,"bug, grass",leaf-guard; chlorophyll; overcoat,55,63,90,50,80,42,380,False,5,73,133
542,leavanny,5,"bug, grass",swarm; chlorophyll; overcoat,75,103,80,70,80,92,500,False,12,205,225
543,venipede,5,"bug, poison",poison-point; swarm; speed-boost,30,45,59,30,39,57,260,False,4,53,52
544,whirlipede,5,"bug, poison",poison-point; swarm; speed-boost,40,55,99,40,79,47,360,False,12,585,126
545,scolipede,5,"bug, poison",poison-point; swarm; speed-boost,60,100,89,55,69,112,485,False,25,2005,218
546,cottonee,5,"grass, fairy",prankster; infiltrator; chlorophyll,40,27,60,37,50,66,280,False,3,6,56
547,whimsicott,5,"grass, fairy",prankster; infiltrator; chlorophyll,60,67,85,77,75,116,480,False,7,66,168
548,petilil,5,grass,chlorophyll; own-tempo; leaf-guard,45,35,50,70,50,30,280,False,5,66,56
549,lilligant,5,grass,chlorophyll; own-tempo; leaf-guard,70,60,75,110,75,90,480,False,11,163,168
550,basculin-red-striped,5,water,reckless; adaptability; mold-breaker,70,92,65,80,55,98,460,False,10,180,161
551,sandile,5,"ground, dark",intimidate; moxie; anger-point,50,72,35,35,35,65,292,False,7,152,58
552,krokorok,5,"ground, dark",intimidate; moxie; anger-point,60,82,45,45,45,74,351,False,10,334,123
553,krookodile,5,"ground, dark",intimidate; moxie; anger-point,95,117,80,65,70,92,519,False,15,963,234
554,darumaka,5,fire,hustle; inner-focus,70,90,45,15,45,50,315,False,6,375,63
555,darmanitan-standard,5,fire,sheer-force; zen-mode,105,140,55,30,55,95,480,False,13,929,168
556,maractus,5,grass,water-absorb; chlorophyll; storm-drain,75,86,67,106,67,60,461,False,10,280,161
557,dwebble,5,"bug, rock",sturdy; shell-armor; weak-armor,50,65,85,35,35,55,325,False,3,145,65
558,crustle,5,"bug, rock",sturdy; shell-armor; weak-armor,70,105,125,65,75,45,485,False,14,2000,170
559,scraggy,5,"dark, fighting",shed-skin; moxie; intimidate,50,75,70,35,70,48,348,False,6,118,70
560,scrafty,5,"dark, fighting",shed-skin; moxie; intimidate,65,90,115,45,115,58,488,False,11,300,171
561,sigilyph,5,"psychic, flying",wonder-skin; magic-guard; tinted-lens,72,58,80,103,80,97,490,False,14,140,172
562,yamask,5,ghost,mummy,38,30,85,55,65,30,303,False,5,15,61
563,cofagrigus,5,ghost,mummy,58,50,145,95,105,30,483,False,17,765,169
564,tirtouga,5,"water, rock",solid-rock; sturdy; swift-swim,54,78,103,53,45,22,355,False,7,165,71
565,carracosta,5,"water, rock",solid-rock; sturdy; swift-swim,74,108,133,83,65,32,495,False,12,810,173
566,archen,5,"rock, flying",defeatist,55,112,45,74,45,70,401,False,5,95,71
567,archeops,5,"rock, flying",defeatist,75,140,65,112,65,110,567,False,14,320,177
568,trubbish,5,poison,stench; sticky-hold; aftermath,50,50,62,40,62,65,329,False,6,310,66
569,garbodor,5,poison,stench; weak-armor; aftermath,80,95,82,60,82,75,474,False,19,1073,166
570,zorua,5,dark,illusion,40,65,40,80,40,65,330,False,7,125,66
571,zoroark,5,dark,illusion,60,105,60,120,60,105,510,False,16,811,179
572,minccino,5,normal,cute-charm; technician; skill-link,55,50,40,40,40,75,300,False,4,58,60
